"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1022.6","...","18.2","...","87","4.2","22","...","...","0.0","...","...","...","...","...","..."
"02","1021.9","...","18.3","...","87","4.1","19","...","...","0.0","...","...","...","...","...","..."
"03","1021.2","...","18.2","...","87","4.1","14","...","...","0.0","...","...","...","...","...","..."
"04","1020.6","...","18.2","...","87","4.0","26","...","...","0.0","...","...","...","...","...","..."
"05","1020.8","...","18.2","...","87","2.5","43","...","...","0.0","...","...","...","...","...","..."
"06","1020.9","...","18.2","...","86","2.1","42","...","...","0.0","...","...","...","...","...","..."
"07","1021.1","...","18.1","...","85","2.6","45","...","...","0.0","...","...","...","...","...","..."
"08","1022.0","...","18.3","...","85","1.6","44","...","...","0.0","...","...","...","...","...","..."
"09","1022.5","...","19.0","...","81","3.2","32","...","...","0.0","...","...","...","...","...","..."
"10","1022.0","...","19.6","...","78","4.8","24","...","...","0.0","...","...","...","...","...","..."
"11","1021.6","...","20.2","...","78","4.9","15","...","...","0.0","...","...","...","...","...","..."
"12","1021.1","...","20.0","...","80","6.7","9","...","...","0.0","...","...","...","...","...","..."
"13","1020.2","...","19.3","...","85","4.2","13","...","...","0.0","...","...","...","...","...","..."
"14","1019.7","...","19.0","...","88","3.0","23","...","...","0.0","...","...","...","...","...","..."
"15","1018.9","...","18.9","...","89","3.0","32","...","...","0.0","...","...","...","...","...","..."
"16","1018.5","...","18.7","...","90","3.6","26","...","...","0.0","...","...","...","...","...","..."
"17","1018.4","...","18.6","...","90","3.5","20","...","...","0.0","...","...","...","...","...","..."
"18","1018.9","...","18.9","...","91","2.5","3","...","...","0.0","...","...","...","...","...","..."
"19","1019.8","...","18.9","...","92","1.1","17","...","...","0.0","...","...","...","...","...","..."
"20","1020.3","...","18.9","...","91","3.2","352","...","...","0.0","...","...","...","...","...","..."
"21","1020.9","...","18.8","...","91","1.0","48","...","...","0.0","...","...","...","...","...","..."
"22","1021.1","...","18.6","...","93","1.5","38","...","...","0.0","...","...","...","...","...","..."
"23","1020.8","...","18.4","...","93","1.7","36","...","...","0.0","...","...","...","...","...","..."
"24","1019.2","...","18.2","...","94","2.1","61","...","...","0.5","...","...","...","...","...","..."
